Model,Accuracy,Balanced_Accuracy,F1_Score,Precision,Recall,MCC
Ensemble_Bagging,0.9099538679914834,0.9160469670412503,0.9103717653112522,0.9164196810821928,0.9099538679914834,0.8243821607217375
NonLinear_DecisionTree,0.9056511710432931,0.9118542916709166,0.9060923147623063,0.9124165043552727,0.9056511710432931,0.8160164476943808
SupportVector_Ridge,0.772666784953868,0.7918018412315401,0.7715830318851479,0.8152295687382367,0.772666784953868,0.5893561786056631
