Model,Category,Accuracy,F1 (Weighted),F1 (Macro),MCC,Train Time (s),Accuracy Rank,MCC Rank,F1 Rank,Time Rank,Overall Score,Final Rank
Logistic Regression,Linear,0.8318399574166075,0.8394198147249795,0.7275101079622285,0.758196428413861,17.10128402709961,3.0,3.0,3.0,3.0,3.0,3.0
Random Forest,Ensemble,0.8684350603264727,0.8400216867414974,0.7780620546503558,0.8102841105032694,3.033705949783325,2.0,2.0,2.0,1.0,1.75,2.0
KNN,Non-Linear,0.8751774308019872,0.8654778429406811,0.7700555887432005,0.8160588737870642,15.230159759521484,1.0,1.0,1.0,2.0,1.25,1.0
