Metric,Baseline,Optimised,Improvement,Improvement %
Accuracy,0.7694730305180979,0.7747959545777147,0.005322924059616763,0.69
F1 (Weighted),0.749670783119208,0.7628272310536731,0.013156447934465132,1.75
F1 (Macro),0.5990038319555226,0.6710399889828975,0.07203615702737487,12.03
MCC,0.6643994296610017,0.6712024922482346,0.006803062587232844,1.02
Train Time (s),2.619509220123291,0.3391299247741699,-2.280379295349121,-87.05
