Algorithm,Accuracy,F1 (Weighted),F1 (Macro),MCC,Train Time (s)
Random Forest,0.8712295954577715,0.8452655375308503,0.7794382333226948,0.8139715639008182,3.246694564819336
Extra Trees,0.8715400993612491,0.8472752931792946,0.7946350704253959,0.8138644334827186,3.754451036453247
AdaBoost,0.7337650816181689,0.6861473251849802,0.47591230128333584,0.617307008643865,21.73458766937256
