Algorithm,Accuracy,F1 (Weighted),F1 (Macro),MCC,Train Time (s)
KNN,0.8369410929737402,0.8119629596819908,0.7564950888647546,0.7601862969346245,6.200249910354614
Decision Tree,0.8335699077359829,0.8120242713428636,0.7089411311390699,0.7548731889349052,0.7645266056060791
SVM-RBF,0.8429293825408091,0.8373492827782578,0.7510241166966419,0.7685135858348214,116.85110855102539
