Algorithm,Accuracy,F1 (Weighted),F1 (Macro),MCC,Train Time (s)
LDA,0.7694730305180979,0.749670783119208,0.5990038319555226,0.6643994296610017,2.619509220123291
Logistic Regression,0.8190649396735273,0.8242514208265618,0.702187885106248,0.738369795439805,20.97500205039978
Ridge Classifier,0.7712473385379702,0.7894896189683033,0.6452765153006731,0.6755067909070548,0.6907131671905518
