Attack Class,LDA,Random Forest,KNN
benign,0.6730860084953678,0.7630726520339343,0.7861474164855426
dos,0.7858396678377656,0.9839762592421812,0.9459736590893898
probe,0.5753158532956372,0.925617642191929,0.8503583429067464
r2l,0.5128399526059619,0.33013600883420074,0.5673633725878119
u2r,0.5789793599142157,0.8204448686169844,0.5719575067147805
