Classifier,Accuracy,Precision,Recall,F1-Score,MCC,AUC
Linear (LDA),0.7864,0.9688,0.6455,0.7748,0.6307,0.9477
Ensemble - RF,0.8741,0.9641,0.8089,0.8797,0.7625,0.9705
Non-Linear (KNN),0.8945,0.9552,0.8547,0.9022,0.7941,0.9337
Ensemble - GB,0.8531,0.9281,0.8042,0.8617,0.715,0.9447
