Attack Class,Baseline,Optimised,Improvement
benign,0.6473644870604791,0.6730860084953678,0.025721521434888706
dos,0.7875979208195089,0.7858396678377656,-0.001758252981743258
probe,0.66390951565443,0.5753158532956372,-0.08859366235879285
r2l,0.4477823596443105,0.5128399526059619,0.06505759296165142
u2r,0.3137935934991523,0.5789793599142157,0.26518576641506336
